"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 10:24:33 GMT 2022","Wed Oct 26 10:24:34 GMT 2022","681","","Testing the main page","","Testing the main page","The “Connect on LinkedIn” link in the footer","The “Connect on LinkedIn” link in the footer",""
"passed","Wed Oct 26 10:24:34 GMT 2022","Wed Oct 26 10:24:35 GMT 2022","1102","","Testing the main page","","Testing the main page","The “Follow on Facebook” link in the footer","The “Follow on Facebook” link in the footer",""
"passed","Wed Oct 26 10:25:47 GMT 2022","Wed Oct 26 10:25:49 GMT 2022","2076","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 10:25:29 GMT 2022","Wed Oct 26 10:25:41 GMT 2022","12242","","Testing the registration page","","Testing the registration page","Checking the registration with valid random generated inputs","Checking the registration with valid random generated inputs",""
"passed","Wed Oct 26 10:24:25 GMT 2022","Wed Oct 26 10:24:26 GMT 2022","1087","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone numbers in the “Calling from overseas?” section","Checking the phone numbers in the “Calling from overseas?” section",""
"passed","Wed Oct 26 10:24:49 GMT 2022","Wed Oct 26 10:24:54 GMT 2022","5827","","Testing the sign in page","","Testing the sign in page","Checking the login with a randomly generated email and password","Checking the login with a randomly generated email and password",""
"passed","Wed Oct 26 10:25:18 GMT 2022","Wed Oct 26 10:25:20 GMT 2022","1897","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 10:25:20 GMT 2022","Wed Oct 26 10:25:22 GMT 2022","2367","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number",""
"passed","Wed Oct 26 10:24:23 GMT 2022","Wed Oct 26 10:24:25 GMT 2022","2192","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone number in the “Talk to our product experts” section","Checking the phone number in the “Talk to our product experts” section",""
"skipped","Wed Oct 26 10:25:04 GMT 2022","Wed Oct 26 10:25:04 GMT 2022","0","","Testing the main page","","Testing the main page","Clicking the “Developer Docs” link in the “hamburger menu”","Clicking the “Developer Docs” link in the “hamburger menu”",""
